City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
116,papatowai,-46.5619,169.4708,10.210000000000036,68,100,3.08,NZ,1699712492
117,kawant,22.1,74.05,26.140000000000043,37,62,2.27,IN,1699712492
118,pyhajarvi,67.0701,27.2176,-12.689999999999998,100,93,1.37,FI,1699712493
119,mount isa,-20.7333,139.5,23.870000000000005,83,100,1.03,AU,1699712494
120,puerto ayora,-0.7393,-90.3518,27.980000000000018,85,78,4.92,EC,1699712494
121,daru,-9.0763,143.2092,25.33000000000004,80,19,5.03,PG,1699712495
122,jiangzi,28.95,89.6333,-1.3599999999999568,40,2,2.59,CN,1699712495
123,tauranga,-37.6861,176.1667,12.700000000000045,92,25,0.89,NZ,1699712264
124,remire-montjoly,4.9167,-52.2667,29.480000000000018,70,3,6.01,GF,1699712496
125,touros,-5.1989,-35.4608,30.02000000000004,53,1,7.17,BR,1699712430
126,maintirano,-18.0667,44.0167,27.510000000000048,68,0,7.34,MG,1699712497
127,manistee,44.2445,-86.3242,4.03000000000003,73,100,0.0,US,1699712498
128,hobyo,5.3505,48.5268,26.920000000000016,78,100,1.9,SO,1699712499
129,san antonio de pale,-1.4014,5.6325,26.189999999999998,83,94,6.02,GQ,1699712499
130,leshan,29.5623,103.7639,16.0,89,100,3.75,CN,1699712500
131,college,64.8569,-147.8028,-8.029999999999973,85,100,0.0,US,1699712500
132,bredy,52.4153,60.3411,3.5400000000000205,95,100,5.44,RU,1699712501
133,chernyshevsk,52.5243,117.0174,-11.70999999999998,70,0,0.93,RU,1699712501
134,kaitong,44.8135,123.15,-12.75,86,26,2.73,CN,1699712502
135,blackmans bay,-43.0167,147.3167,7.07000000000005,86,51,0.45,AU,1699712502
136,klyuchi,52.2667,79.1667,4.740000000000009,76,99,3.55,RU,1699712503
137,kaliua,-5.0606,31.7936,29.140000000000043,40,100,2.22,TZ,1699712503
138,mount pearl,47.5166,-52.7813,2.6899999999999977,93,100,10.29,CA,1699712504
139,juegang,32.3174,121.1855,12.03000000000003,80,100,5.57,CN,1699712505
140,nampa,43.5407,-116.5635,7.689999999999998,74,0,3.09,US,1699712505
141,walvis bay,-22.9575,14.5053,21.53000000000003,64,0,5.66,,1699712506
142,youghal,51.95,-7.8506,9.560000000000002,91,100,6.36,IE,1699712507
143,mossel bay,-34.1831,22.146,18.960000000000036,73,22,7.57,ZA,1699712507
144,margaret river,-33.95,115.0667,14.129999999999995,61,56,7.36,AU,1699712508
145,kavieng,-2.5744,150.7967,27.890000000000043,79,100,4.71,PG,1699712508
146,keflavik,64.0049,-22.5624,4.240000000000009,93,75,5.14,IS,1699712509
147,gilleleje,56.122,12.3106,8.350000000000023,88,100,2.57,DK,1699712509
148,kapenguria,1.2511,35.0895,19.470000000000027,59,100,3.57,KE,1699712510
149,kingston,17.997,-76.7936,29.560000000000002,63,47,0.55,JM,1699712451
150,udachny,66.4167,112.4,-13.560000000000002,86,13,3.79,RU,1699712511
151,reyhanli,36.2692,36.5672,25.660000000000025,31,100,1.66,TR,1699712352
152,hawaiian paradise park,19.5933,-154.9731,21.689999999999998,89,75,0.0,US,1699712512
153,cooma,-36.2333,149.1333,13.379999999999995,99,76,2.43,AU,1699712513
154,labrador city,52.9463,-66.9114,-8.049999999999955,93,75,0.0,CA,1699712513
155,praia da vitoria,38.7333,-27.0667,22.140000000000043,73,20,3.46,PT,1699712514
156,puerto baquerizo moreno,-0.9,-89.6,26.55000000000001,78,75,7.2,EC,1699712409
157,berriane,32.8265,3.7669,25.450000000000045,29,0,6.31,DZ,1699712515
158,bubaque,11.2833,-15.8333,27.939999999999998,50,40,0.87,GW,1699712515
159,aizawl,23.7333,92.7167,13.629999999999995,71,0,0.91,IN,1699712516
160,greenville,35.6127,-77.3663,10.010000000000048,89,100,2.57,US,1699712362
161,hammerfest,70.6634,23.6821,0.25,74,75,4.12,NO,1699712518
162,roxas,11.5853,122.7511,26.75,85,36,2.61,PH,1699712518
163,west island,-12.1568,96.8225,26.99000000000001,78,77,3.6,CC,1699712519
164,kenai,60.5544,-151.2583,-2.169999999999959,98,100,0.0,US,1699712519
165,as sulayyil,20.4607,45.5779,28.140000000000043,27,100,4.59,SA,1699712520
166,lebu,-37.6167,-73.65,9.25,82,100,8.11,CL,1699712520
167,norilsk,69.3535,88.2027,-11.019999999999982,95,100,1.89,RU,1699712521
168,acarau,-2.8856,-40.12,31.450000000000045,50,13,8.18,BR,1699712521
169,afif,23.9065,42.9172,25.930000000000007,18,24,4.37,SA,1699712522
170,utrik,11.2278,169.8474,25.939999999999998,92,100,5.4,MH,1699712523
171,albany,42.6001,-73.9662,6.480000000000018,69,7,1.34,US,1699712523
172,kentville,45.0835,-64.4988,5.140000000000043,80,88,2.57,CA,1699712524
173,qaqortoq,60.7167,-46.0333,-2.509999999999991,67,49,3.88,GL,1699712524
174,sungai penuh,-2.0833,101.3833,19.060000000000002,98,55,0.13,ID,1699712525
175,thunder bay,48.4001,-89.3168,-0.009999999999990905,74,100,1.54,CA,1699712527
176,korocha,50.8107,37.1953,6.400000000000034,68,100,7.25,RU,1699712528
177,mirny,62.5353,113.9611,-9.310000000000002,56,100,7.15,RU,1699712529
178,port alfred,-33.5906,26.891,21.210000000000036,83,47,4.02,ZA,1699712529
179,igarka,67.4667,86.5833,-9.21999999999997,95,100,5.67,RU,1699712254
180,korla,41.7597,86.1469,4.689999999999998,75,61,3.62,CN,1699712531
181,new norfolk,-42.7826,147.0587,7.720000000000027,87,47,1.47,AU,1699712532
182,hamilton,39.1834,-84.5333,6.110000000000014,77,20,3.6,US,1699712532
183,yarega,63.4354,53.5765,-1.17999999999995,95,100,2.71,RU,1699712533
184,penzance,50.1186,-5.5371,12.650000000000034,70,100,6.43,GB,1699712453
185,uturoa,-16.7333,-151.4333,26.950000000000045,80,100,4.09,PF,1699712534
186,vadso,70.0744,29.7487,-3.909999999999968,86,20,4.12,NO,1699712534
187,livingston,55.9029,-3.5226,9.600000000000023,67,0,1.54,GB,1699712535
188,ndola,-12.9587,28.6366,30.720000000000027,30,61,4.71,ZM,1699712536
189,guerrero negro,27.9769,-114.0611,14.550000000000011,52,0,0.44,MX,1699712375
190,ust-nera,64.5667,143.2,-32.76999999999998,99,64,1.96,RU,1699712537
191,pueblo,38.2545,-104.6091,5.610000000000014,52,32,1.91,US,1699712538
192,puerto cortez,15.8333,-87.95,29.560000000000002,81,61,2.06,HN,1699712538
193,ji'an,27.1172,114.9793,13.410000000000025,93,100,4.61,CN,1699712392
194,mildura,-34.2,142.15,18.370000000000005,39,67,6.46,AU,1699712379
195,namibe,-15.1961,12.1522,24.140000000000043,65,92,6.36,AO,1699712540
196,lorengau,-2.0226,147.2712,26.939999999999998,83,96,3.52,PG,1699712541
197,male,4.1748,73.5089,27.970000000000027,83,75,2.06,MV,1699712362
198,shache,38.4167,77.2406,9.260000000000048,29,57,3.51,CN,1699712542
199,yuzhno-kurilsk,44.0306,145.8556,5.760000000000048,88,77,5.95,RU,1699712543
200,minas de marcona,-15.2119,-75.1103,16.78000000000003,79,85,4.53,PE,1699712251
201,swakopmund,-22.6833,14.5333,18.260000000000048,77,82,8.17,,1699712399
202,sitangkai,4.6628,119.3928,29.0,74,100,3.77,PH,1699712544
203,atar,20.5169,-13.0499,34.450000000000045,9,5,5.45,MR,1699712545
204,carbonear,47.7332,-53.2148,3.9500000000000455,91,100,9.35,CA,1699712546
205,broken hill,-31.95,141.4333,22.77000000000004,25,36,6.5,AU,1699712546
206,cockburn town,21.4612,-71.1419,27.99000000000001,75,5,10.47,TC,1699712325
207,bikenibeu village,1.3673,173.1241,25.980000000000018,94,75,3.6,KI,1699712547
208,saipan,15.1355,145.701,28.390000000000043,78,0,6.69,MP,1699712548
209,khawr fakkan,25.3313,56.342,29.03000000000003,42,100,1.4,AE,1699712548
210,greymouth,-42.4667,171.2,11.060000000000002,90,81,1.01,NZ,1699712549
211,chonchi,-42.6128,-73.8092,8.400000000000034,85,96,4.31,CL,1699712550
212,chake chake,-5.2459,39.7666,27.930000000000007,76,99,3.81,TZ,1699712551
213,kirakira,-10.4544,161.9205,26.340000000000032,88,100,4.19,SB,1699712551
214,port lincoln,-34.7333,135.8667,13.400000000000034,71,97,4.96,AU,1699712552
215,garbahaarrey,3.3289,42.2209,29.79000000000002,59,96,2.34,SO,1699712553
216,mahibadhoo,3.7833,72.9667,28.439999999999998,72,95,3.06,MV,1699712553
217,uren',57.4552,45.7852,2.1299999999999955,93,100,3.02,RU,1699712554
218,paragominas,-2.9667,-47.4833,34.44,38,21,3.18,BR,1699712554
219,sisimiut,66.9395,-53.6735,-7.310000000000002,78,100,5.65,GL,1699712555
220,nevel'sk,46.6733,141.8633,-1.6999999999999886,70,93,5.38,RU,1699712555
221,hasaki,35.7333,140.8333,12.379999999999995,62,100,6.24,JP,1699712556
222,kerikeri,-35.2268,173.9474,9.260000000000048,86,97,1.94,NZ,1699712557
223,raduzhny,62.0961,77.475,0.0,96,100,3.09,RU,1699712557
224,kailua-kona,19.6406,-155.9956,23.060000000000002,98,3,0.91,US,1699712558
225,nicoya,10.1483,-85.452,27.110000000000014,85,100,1.61,CR,1699712558
226,rongelap,11.1635,166.8941,27.430000000000007,82,98,8.25,MH,1699712559
227,vylkove,45.4021,29.586,17.28000000000003,67,100,5.16,UA,1699712559
228,zabreh,49.8826,16.8722,8.360000000000014,82,100,2.91,CZ,1699712560
229,twon-brass,4.3151,6.2418,27.82000000000005,78,98,5.41,NG,1699712561
230,el calafate,-50.3408,-72.2768,3.400000000000034,85,100,6.09,AR,1699712561
231,pericos,25.05,-107.7,18.950000000000045,68,0,1.8,MX,1699712562
232,lata,40.1629,-8.3327,20.83000000000004,66,100,4.22,PT,1699712562
233,vilyuchinsk,52.9306,158.4028,1.150000000000034,95,100,2.98,RU,1699712563
234,livorno,43.2333,10.5833,19.82000000000005,74,24,9.13,IT,1699712563
235,uvira,-3.4067,29.1458,24.629999999999995,84,99,3.2,CD,1699712564
236,cidreira,-30.1811,-50.2056,27.420000000000016,69,95,1.7,BR,1699712565
237,lodja,-3.4833,23.4333,26.689999999999998,77,100,1.35,CD,1699712565
238,fuglafjordur,62.244,-6.814,5.260000000000048,71,77,4.36,FO,1699712566
239,bianzhuang,34.8486,118.0447,5.680000000000007,67,100,2.41,CN,1699712566
240,sao gabriel da cachoeira,-0.1303,-67.0892,30.510000000000048,64,48,1.66,BR,1699712567
